english	italiano	freq	cat.gram
of	di	108956	Preposizione
and	e	83354	Congiunzione
the (m.s)	il	64723	Articolo
the (f.s)	la	60019	Articolo
to	a	43135	Preposizione
a (m.s.)	un	42076	Articolo
in	in	38765	Preposizione
that, what (pronoun)	che	38407	Pronome
for	per	37118	Preposizione
not	non	35158	Avverbio
a (f.s)	una	28986	Articolo
the	l'	28957	Articolo
the (m.p)	i	28404	Articolo
of the (m.s)	del	26322	Preposizione
it / he / she is	è	25589	Verbo
with	con	24597	Preposizione
the (f.p)	le	23550	Articolo
of the (f.s)	della	21762	Preposizione
from	da	19552	Preposizione
but	ma	17465	Congiunzione
it / he / she has	ha	16421	Verbo ausiliare in Tempo composto di un verbo
more	più	13825	Avverbio
to the (m.s)	al	12706	Preposizione
one, oneself	si	11908	Pronome
of the (m.p)	dei	11492	Preposizione
also, aswell	anche	10972	Avverbio
in the (m.s)	nel	10022	Preposizione
of the	dell'	10100	Preposizione
the (masch. before gn, pn, ps, x and z)	gli	9775	Articolo
like, as	come	8779	Avverbio
to the (f.s)	alla	8759	Preposizione
I am, they are	sono	7677	Verbo
of the (f.p)	delle	7631	Preposizione
or	o	7538	Congiunzione
if	se	6817	Congiunzione
years	anni	6802	Sostantivo
me, to me	mi	7088	Pronome
in the (f.s)	nella	6425	Preposizione
two	due	6415	Numerale
of the (m.s)	dal	6182	Preposizione
its, his, her (m)	suo	5748	Aggettivo
its, his, her (f)	sua	5555	Aggettivo
of	d'	5420	Preposizione
why, because	perché	5294	Congiunzione
a	un'	5233	Articolo
to the	all'	5204	Preposizione
the (masch. before gn, pn, ps, x and z)	lo	5343	Pronome
when	quando	5159	Congiunzione
then	poi	4988	Avverbio
it / he / she was	era	5257	Verbo
they have	hanno	4961	Verbo ausiliare in Tempo composto di un verbo
who, which (pronoun)	cui	4787	Pronome
between, among, within	tra	4699	Preposizione
of the (f.s)	dalla	4494	Preposizione
only, alone	solo	4451	Avverbio
so	così	4475	Avverbio
there	c'	4398	Avverbio in Verbo
on	su	4169	Preposizione
to the (m.s)	ai	4176	Preposizione
always, forever	sempre	4144	Avverbio
on the (m.s)	sul	4050	Preposizione
after, afterwards	dopo	4069	Preposizione
this [thing] (m.s)	questo	4022	Aggettivo
again, still, yet	ancora	3999	Avverbio
to the (f.p)	alle	3907	Preposizione
to (before vowel)	ad	3887	Preposizione
of the (masch. before gn, pn, ps, x and z)	degli	3773	Preposizione
without	senza	3690	Preposizione
already	già	3511	Avverbio
this [thing] (f.s)	questa	3344	Aggettivo
that [thing] (m.s)	quello	3307	Pronome
it / he / she can	può	3376	Verbo
he	lui	3577	Pronome
who, the one who	chi	3331	Pronome
I have	ho	3551	Verbo ausiliare in Tempo composto di un verbo
and (before vowel)	ed	3278	Congiunzione
they	loro	3292	Aggettivo
on the (f.s)	sulla	3206	Preposizione
it / he / she had	aveva	3496	Verbo ausiliare in Tempo composto di un verbo
there is	c'è	3213	Verbo
to make	fare	3033	Verbo
every	ogni	2971	Aggettivo
in the	nell'	2968	Preposizione
much / very much	molto	2937	Avverbio
I	io	3302	Pronome
in the (m.p)	nei	2837	Preposizione
time	tempo	2795	Sostantivo
to be	essere	2775	Verbo
where	dove	2786	Congiunzione
of him / her / it, any	ne	2748	Pronome
large	grande	2731	Aggettivo
life	vita	2764	Sostantivo
three	tre	2723	Numerale
of the	dall'	2637	Preposizione
never	mai	2681	Avverbio
some, a few	qualche	2573	Aggettivo
us, about it	ci	2606	Pronome
house, home	casa	2583	Sostantivo
made	fatto	2519	Verbo in Tempo composto di un verbo
today	oggi	2439	Avverbio
in the (f.p)	nelle	2424	Preposizione
just (exactly), one's own	proprio	2391	Avverbio
instead	invece	2380	Avverbio
its / his / her (m.p)	suoi	2337	Aggettivo
while	mentre	2288	Congiunzione
(one) time, once	volta	2275	Sostantivo
year	anno	2401	Sostantivo
of the (m.p)	dai	2271	Preposizione
part	parte	2245	Sostantivo
but, however	però	2248	Congiunzione
all, everyone	tutti	2262	Pronome
that (f.s)	quella	2179	Pronome
she	lei	2581	Pronome
that	quel	2224	Aggettivo
world	mondo	2158	Sostantivo
it / he / she makes	fa	2141	Verbo
maybe	forse	2135	Avverbio
one	uno	2112	Pronome
been	stato	2167	Verbo ausiliare in Tempo composto di un verbo
hour, now	ora	2107	Avverbio
day	giorno	2077	Sostantivo
roughly, almost, nearly	quasi	2026	Avverbio
first, early	primo	1994	Aggettivo
before, beforehand	prima	1954	Aggettivo
it / he / she says	dice	2018	Verbo
we, us	noi	1984	Pronome
days	giorni	1975	Sostantivo
all, everything	tutto	1944	Pronome
between, among, within	fra	1910	Preposizione
man	uomo	1959	Sostantivo
against	contro	1917	Preposizione
Italy	italia	2030	Nome proprio
of the (f.p)	dalle	1833	Preposizione
my (f.s)	mia	1998	Aggettivo
my (m.s)	mio	1989	Aggettivo
me, to me	me	1999	Pronome
I work, work	lavoro	1775	Sostantivo
until, up to, as far as,	fino	1748	Preposizione in Preposizione
(right) here	qui	1826	Avverbio
manner, way	modo	1771	Sostantivo
others	altri	1700	Aggettivo
said	detto	1767	Verbo in Tempo composto di un verbo
to say	dire	1662	Verbo
yesteday	ieri	2175	Avverbio
indeed, in fact	infatti	1621	Congiunzione
city	città	1633	Sostantivo
its / his / hers (f.p)	sue	1558	Aggettivo
it / he / she stands (is + gerund)	sta	1557	Verbo
above all, especially	soprattutto	1580	Avverbio
same	stesso	1544	Aggettivo
one the (f.p)	sulle	1513	Preposizione
of the (m.s) 	dello	1547	Preposizione
which, what	quale	1550	Pronome in Pronome
in the (m.p)	negli	1519	Preposizione
second	secondo	1560	Preposizione
this (m.p)	questi	1508	Aggettivo
below, down	sotto	1470	Preposizione
it / he / she must	deve	1464	Verbo
well	bene	1481	Avverbio
to have	aver(e)	1445	Verbo ausiliare in Tempo composto di un verbo
president	presidente	1800	Sostantivo
history, story	storia	1414	Sostantivo
moment	momento	1408	Sostantivo
