italiano	freq	Cat.Gram	english
di	108956	Preposizione	of
e	83354	Congiunzione	and
il	64723	Articolo	the (m.s)
la	60019	Articolo	the (f.s)
a	43135	Preposizione	to
un	42076	Articolo	a (m.s.)
in	38765	Preposizione	in
che	38407	Pronome	that, what (pronoun)
per	37118	Preposizione	for
non	35158	Avverbio	not
una	28986	Articolo	a (f.s)
l'	28957	Articolo	the
i	28404	Articolo	the (m.p)
del	26322	Preposizione	of the (m.s)
è	25589	Verbo	it / he / she is
con	24597	Preposizione	with
le	23550	Articolo	the (f.p)
della	21762	Preposizione	of the (f.s)
da	19552	Preposizione	from
ma	17465	Congiunzione	but
ha	16421	Verbo ausiliare in Tempo composto di un verbo	it / he / she has
più	13825	Avverbio	more
al	12706	Preposizione	to the (m.s)
si	11908	Pronome	one, oneself
dei	11492	Preposizione	of the (m.p)
anche	10972	Avverbio	also, aswell
dell'	10100	Preposizione	of the
nel	10022	Preposizione	in the (m.s)
gli	9775	Articolo	the (masch. before gn, pn, ps, x and z)
come	8779	Avverbio	like, as
alla	8759	Preposizione	to the (f.s)
sono	7677	Verbo	I am, they are
delle	7631	Preposizione	of the (f.p)
o	7538	Congiunzione	or
mi	7088	Pronome	me, to me
se	6817	Congiunzione	if
anni	6802	Sostantivo	years
nella	6425	Preposizione	in the (f.s)
due	6415	Numerale	two
dal	6182	Preposizione	of the (m.s)
suo	5748	Aggettivo	its, his, her (m)
sua	5555	Aggettivo	its, his, her (f)
d'	5420	Preposizione	of
lo	5343	Pronome	the (masch. before gn, pn, ps, x and z)
perché	5294	Congiunzione	why, because
era	5257	Verbo	it / he / she was
un'	5233	Articolo	a
all'	5204	Preposizione	to the
quando	5159	Congiunzione	when
poi	4988	Avverbio	then
hanno	4961	Verbo ausiliare in Tempo composto di un verbo	they have
cui	4787	Pronome	who, which (pronoun)
tra	4699	Preposizione	between, among, within
dalla	4494	Preposizione	of the (f.s)
così	4475	Avverbio	so
solo	4451	Avverbio	only, alone
c'	4398	Avverbio in Verbo	there
ai	4176	Preposizione	to the (m.s)
su	4169	Preposizione	on
sempre	4144	Avverbio	always, forever
dopo	4069	Preposizione	after, afterwards
sul	4050	Preposizione	on the (m.s)
questo	4022	Aggettivo	this [thing] (m.s)
ancora	3999	Avverbio	again, still, yet
alle	3907	Preposizione	to the (f.p)
ad	3887	Preposizione	to (before vowel)
degli	3773	Preposizione	of the (masch. before gn, pn, ps, x and z)
senza	3690	Preposizione	without
lui	3577	Pronome	he
ho	3551	Verbo ausiliare in Tempo composto di un verbo	I have
già	3511	Avverbio	already
aveva	3496	Verbo ausiliare in Tempo composto di un verbo	it / he / she had
può	3376	Verbo	it / he / she can
questa	3344	Aggettivo	this [thing] (f.s)
chi	3331	Pronome	who, the one who
quello	3307	Pronome	that [thing] (m.s)
io	3302	Pronome	I
loro	3292	Aggettivo	they
ed	3278	Congiunzione	and (before vowel)
c'è	3213	Verbo	there is
sulla	3206	Preposizione	on the (f.s)
fare	3033	Verbo	to make
ogni	2971	Aggettivo	every
nell'	2968	Preposizione	in the
molto	2937	Avverbio	much / very much
nei	2837	Preposizione	in the (m.p)
tempo	2795	Sostantivo	time
dove	2786	Congiunzione	where
essere	2775	Verbo	to be
vita	2764	Sostantivo	life
ne	2748	Pronome	of him / her / it, any
grande	2731	Aggettivo	large
tre	2723	Numerale	three
mai	2681	Avverbio	never
dall'	2637	Preposizione	of the
ci	2606	Pronome	us, about it
casa	2583	Sostantivo	house, home
lei	2581	Pronome	she
qualche	2573	Aggettivo	some, a few
fatto	2519	Verbo in Tempo composto di un verbo	made
oggi	2439	Avverbio	today
nelle	2424	Preposizione	in the (f.p)
anno	2401	Sostantivo	year
proprio	2391	Avverbio	just (exactly), one's own
invece	2380	Avverbio	instead
suoi	2337	Aggettivo	its / his / her (m.p)
mentre	2288	Congiunzione	while
volta	2275	Sostantivo	(one) time, once
dai	2271	Preposizione	of the (m.p)
tutti	2262	Pronome	all, everyone
però	2248	Congiunzione	but, however
parte	2245	Sostantivo	part
quel	2224	Aggettivo	that
quella	2179	Pronome	that (f.s)
ieri	2175	Avverbio	yesteday
stato	2167	Verbo ausiliare in Tempo composto di un verbo	been
mondo	2158	Sostantivo	world
fa	2141	Verbo	it / he / she makes
forse	2135	Avverbio	maybe
uno	2112	Pronome	one
ora	2107	Avverbio	hour, now
giorno	2077	Sostantivo	day
quasi	2026	Avverbio	roughly, almost, nearly
dice	2018	Verbo	it / he / she says
me	1999	Pronome	me, to me
mia	1998	Aggettivo	my (f.s)
primo	1994	Aggettivo	first, early
mio	1989	Aggettivo	my (m.s)
noi	1984	Pronome	we, us
giorni	1975	Sostantivo	days
uomo	1959	Sostantivo	man
prima	1954	Aggettivo	before, beforehand
tutto	1944	Pronome	all, everything
contro	1917	Preposizione	against
fra	1910	Preposizione	between, among, within
dalle	1833	Preposizione	of the (f.p)
qui	1826	Avverbio	(right) here
presidente	1800	Sostantivo	president
lavoro	1775	Sostantivo	I work, work
modo	1771	Sostantivo	manner, way
detto	1767	Verbo in Tempo composto di un verbo	said
fino	1748	Preposizione in Preposizione	until, up to, as far as,
altri	1700	Aggettivo	others
dire	1662	Verbo	to say
città	1633	Sostantivo	city
infatti	1621	Congiunzione	indeed, in fact
soprattutto	1580	Avverbio	above all, especially
ti	1563	Pronome	you, to you
secondo	1560	Preposizione	second
sue	1558	Aggettivo	its / his / hers (f.p)
sta	1557	Verbo	it / he / she stands (is + gerund)
quale	1550	Pronome in Pronome	which, what
dello	1547	Preposizione	of the (m.s) 
stesso	1544	Aggettivo	same
negli	1519	Preposizione	in the (m.p)
sulle	1513	Preposizione	one the (f.p)
questi	1508	Aggettivo	this (m.p)
governo	1492	Sostantivo	government
bene	1481	Avverbio	well
sotto	1470	Preposizione	below, down
deve	1464	Verbo	it / he / she must
nuovo	1428	Aggettivo	new
verso	1418	Preposizione	line, way, manner
storia	1414	Sostantivo	history, story
momento	1408	Sostantivo	moment
soltanto	1405	Avverbio	only, just
sarà	1405	Verbo	it / he / she will be
sui	1399	Preposizione	on the (m.p)
avrebbe	1395	Verbo ausiliare in Tempo composto di un verbo	it / he / she would have
punto	1389	Sostantivo	point, toe
stata	1378	Verbo ausiliare in Tempo composto di un verbo	been
quelli	1357	Pronome	that (m.p)
altro	1344	Aggettivo	other, else
abbiamo	1335	Verbo ausiliare in Tempo composto di un verbo	we have
quindi	1331	Congiunzione	so, therefore
no	1327	Avverbio	no
tutte	1319	Aggettivo	all
sembra	1312	Verbo	it / he / she seems
meno	1311	Avverbio	less
subito	1304	Avverbio	immediately, at once
ex	1295	Aggettivo	former
nessuno	1293	Pronome	nobody, anyone
quattro	1291	Numerale	four
mesi	1289	Sostantivo	months
donna	1285	Sostantivo	woman
persone	1276	Sostantivo	persons
uomini	1269	Sostantivo	men
adesso	1256	Avverbio	now
li	1254	Pronome	them
padre	1254	Sostantivo	father
caso	1254	Sostantivo	case, chance
agli	1250	Preposizione	of the (m.p)
cose	1250	Sostantivo	things
cento	1241	Numerale	one hundred
troppo	1240	Avverbio	too much
film	1215	Sostantivo	film
pò	1210	Sostantivo in Avverbio	few, little, not much
vero	1209	Aggettivo	true
ormai	1200	Avverbio	now, by this time, by now
un pò	1198	Avverbio	a little
paese	1196	Sostantivo	country
ben	1190	Avverbio	well
anche se	1183	Congiunzione	also / even /  if, although
ore	1177	Sostantivo	hours
e' stato	1176	Verbo	<TEXT>
sull'	1173	Preposizione	on the
cosa	1163	Sostantivo	thing
sera	1160	Sostantivo	evening
nuova	1159	Aggettivo	new, news
ciò	1153	Pronome	that, this (demonstrative pronoun)
avuto	1150	Verbo in Tempo composto di un verbo	had
almeno	1144	Avverbio	at least
erano	1143	Verbo	they were
milioni	1131	Numerale	million
grandi	1131	Aggettivo	large
famiglia	1130	Sostantivo	family
né	1129	Congiunzione	neither
sia	1128	Verbo	might be, both
altra	1120	Aggettivo	other
miliardi	1119	Numerale	one billion (one thousand million)
nostro	1110	Aggettivo	our
queste	1108	Aggettivo	this (f.p)
sì	1105	Avverbio	yes
avere	1100	Verbo	to have
altre	1099	Aggettivo	others
spesso	1097	Avverbio	often, frequently
amore	1097	Sostantivo	to love
meglio	1085	Avverbio	best, better
possono	1082	Verbo	they can
società	1078	Sostantivo	society
sarebbe	1065	Verbo ausiliare in Tempo composto di un verbo	it / he / she would be
poco	1059	Avverbio	a little, a few
qualcosa	1059	Pronome	something
mila	1059	Numerale	thousand
allora	1057	Congiunzione	so
lire	1053	Sostantivo	lire
tutta	1052	Aggettivo	all
alcuni	1050	Aggettivo	some, any
viene	1042	Verbo ausiliare in Tempo composto di un verbo	it / he / she comes
gente	1041	Sostantivo	people
disse	1040	Verbo	it / he / she said (remote)
notte	1039	Sostantivo	night
col	1025	Preposizione	with the (m.p)
stessa	1024	Aggettivo	same
legge	1021	Sostantivo	law
donne	1020	Sostantivo	women
madre	1018	Sostantivo	mother
possibile	1002	Aggettivo	possible
ci sono	997	Verbo	ther are
va	995	Verbo	it / he / she goes
posto	990	Sostantivo	place, room, space
problema	989	Sostantivo	problem
tanto	988	Avverbio	a lot
mano	982	Sostantivo	hand
ministro	978	Sostantivo	minister
occhi	972	Sostantivo	eyes
gruppo	971	Sostantivo	group
potrebbe	969	Verbo	it / he / she could
quanto	965	Pronome	how much
certo	961	Avverbio	certain
esempio	959	Sostantivo in Avverbio	example
durante	953	Preposizione	for, during
fine	953	Sostantivo	end, conclusion
dunque	947	Congiunzione	therefore
sistema	947	Sostantivo	system
acqua	945	Sostantivo	water
vedere	944	Verbo	to see
ha detto	943	Verbo	it / he / she has said
problemi	938	Sostantivo	problems
