italiano	freq	Cat.Gram	english
di	108956	Preposizione	of
e	83354	Congiunzione	and
il	64723	Articolo	the (m.s)
la	60019	Articolo	the (f.s)
a	43135	Preposizione	to
un	42076	Articolo	a (m.s.)
in	38765	Preposizione	in
che	38407	Pronome	that, what (pronoun)
per	37118	Preposizione	for
non	35158	Avverbio	not
una	28986	Articolo	a (f.s)
l'	28957	Articolo	the
i	28404	Articolo	the (m.p)
del	26322	Preposizione	of the (m.s)
è	25589	Verbo	it / he / she is
con	24597	Preposizione	with
le	23550	Articolo	the (f.p)
della	21762	Preposizione	of the (f.s)
da	19552	Preposizione	from
ma	17465	Congiunzione	but
ha	16421	Verbo ausiliare in Tempo composto di un verbo	it / he / she has
più	13825	Avverbio	more
al	12706	Preposizione	to the (m.s)
si	11908	Pronome	one, oneself
dei	11492	Preposizione	of the (m.p)
anche	10972	Avverbio	also, aswell
nel	10022	Preposizione	in the (m.s)
dell'	10100	Preposizione	of the
gli	9775	Articolo	the (masch. before gn, pn, ps, x and z)
come	8779	Avverbio	like, as
alla	8759	Preposizione	to the (f.s)
sono	7677	Verbo	I am, they are
delle	7631	Preposizione	of the (f.p)
o	7538	Congiunzione	or
se	6817	Congiunzione	if
anni	6802	Sostantivo	years
mi	7088	Pronome	me, to me
nella	6425	Preposizione	in the (f.s)
due	6415	Numerale	two
dal	6182	Preposizione	of the (m.s)
suo	5748	Aggettivo	its, his, her (m)
sua	5555	Aggettivo	its, his, her (f)
d'	5420	Preposizione	of
perché	5294	Congiunzione	why, because
un'	5233	Articolo	a
all'	5204	Preposizione	to the
lo	5343	Pronome	the (masch. before gn, pn, ps, x and z)
quando	5159	Congiunzione	when
poi	4988	Avverbio	then
era	5257	Verbo	it / he / she was
hanno	4961	Verbo ausiliare in Tempo composto di un verbo	they have
cui	4787	Pronome	who, which (pronoun)
tra	4699	Preposizione	between, among, within
dalla	4494	Preposizione	of the (f.s)
solo	4451	Avverbio	only, alone
così	4475	Avverbio	so
c'	4398	Avverbio in Verbo	there
su	4169	Preposizione	on
ai	4176	Preposizione	to the (m.s)
sempre	4144	Avverbio	always, forever
sul	4050	Preposizione	on the (m.s)
dopo	4069	Preposizione	after, afterwards
questo	4022	Aggettivo	this [thing] (m.s)
ancora	3999	Avverbio	again, still, yet
alle	3907	Preposizione	to the (f.p)
ad	3887	Preposizione	to (before vowel)
degli	3773	Preposizione	of the (masch. before gn, pn, ps, x and z)
senza	3690	Preposizione	without
già	3511	Avverbio	already
questa	3344	Aggettivo	this [thing] (f.s)
quello	3307	Pronome	that [thing] (m.s)
può	3376	Verbo	it / he / she can
lui	3577	Pronome	he
chi	3331	Pronome	who, the one who
ho	3551	Verbo ausiliare in Tempo composto di un verbo	I have
ed	3278	Congiunzione	and (before vowel)
loro	3292	Aggettivo	they
sulla	3206	Preposizione	on the (f.s)
aveva	3496	Verbo ausiliare in Tempo composto di un verbo	it / he / she had
c'è	3213	Verbo	there is
fare	3033	Verbo	to make
ogni	2971	Aggettivo	every
nell'	2968	Preposizione	in the
molto	2937	Avverbio	much / very much
io	3302	Pronome	I
nei	2837	Preposizione	in the (m.p)
tempo	2795	Sostantivo	time
essere	2775	Verbo	to be
dove	2786	Congiunzione	where
ne	2748	Pronome	of him / her / it, any
grande	2731	Aggettivo	large
vita	2764	Sostantivo	life
tre	2723	Numerale	three
dall'	2637	Preposizione	of the
mai	2681	Avverbio	never
qualche	2573	Aggettivo	some, a few
ci	2606	Pronome	us, about it
casa	2583	Sostantivo	house, home
fatto	2519	Verbo in Tempo composto di un verbo	made
oggi	2439	Avverbio	today
nelle	2424	Preposizione	in the (f.p)
proprio	2391	Avverbio	just (exactly), one's own
invece	2380	Avverbio	instead
suoi	2337	Aggettivo	its / his / her (m.p)
mentre	2288	Congiunzione	while
volta	2275	Sostantivo	(one) time, once
anno	2401	Sostantivo	year
dai	2271	Preposizione	of the (m.p)
parte	2245	Sostantivo	part
però	2248	Congiunzione	but, however
tutti	2262	Pronome	all, everyone
quella	2179	Pronome	that (f.s)
lei	2581	Pronome	she
quel	2224	Aggettivo	that
mondo	2158	Sostantivo	world
fa	2141	Verbo	it / he / she makes
forse	2135	Avverbio	maybe
uno	2112	Pronome	one
stato	2167	Verbo ausiliare in Tempo composto di un verbo	been
ora	2107	Avverbio	hour, now
giorno	2077	Sostantivo	day
quasi	2026	Avverbio	roughly, almost, nearly
primo	1994	Aggettivo	first, early
prima	1954	Aggettivo	before, beforehand
dice	2018	Verbo	it / he / she says
noi	1984	Pronome	we, us
giorni	1975	Sostantivo	days
tutto	1944	Pronome	all, everything
fra	1910	Preposizione	between, among, within
uomo	1959	Sostantivo	man
contro	1917	Preposizione	against
dalle	1833	Preposizione	of the (f.p)
mia	1998	Aggettivo	my (f.s)
mio	1989	Aggettivo	my (m.s)
me	1999	Pronome	me, to me
lavoro	1775	Sostantivo	I work, work
fino	1748	Preposizione in Preposizione	until, up to, as far as,
qui	1826	Avverbio	(right) here
modo	1771	Sostantivo	manner, way
altri	1700	Aggettivo	others
detto	1767	Verbo in Tempo composto di un verbo	said
dire	1662	Verbo	to say
ieri	2175	Avverbio	yesteday
infatti	1621	Congiunzione	indeed, in fact
città	1633	Sostantivo	city
sue	1558	Aggettivo	its / his / hers (f.p)
sta	1557	Verbo	it / he / she stands (is + gerund)
soprattutto	1580	Avverbio	above all, especially
stesso	1544	Aggettivo	same
sulle	1513	Preposizione	one the (f.p)
dello	1547	Preposizione	of the (m.s) 
quale	1550	Pronome in Pronome	which, what
negli	1519	Preposizione	in the (m.p)
secondo	1560	Preposizione	second
questi	1508	Aggettivo	this (m.p)
sotto	1470	Preposizione	below, down
deve	1464	Verbo	it / he / she must
bene	1481	Avverbio	well
presidente	1800	Sostantivo	president
storia	1414	Sostantivo	history, story
momento	1408	Sostantivo	moment
soltanto	1405	Avverbio	only, just
verso	1418	Preposizione	line, way, manner
sarà	1405	Verbo	it / he / she will be
punto	1389	Sostantivo	point, toe
sui	1399	Preposizione	on the (m.p)
nuovo	1428	Aggettivo	new
quelli	1357	Pronome	that (m.p)
stata	1378	Verbo ausiliare in Tempo composto di un verbo	been
altro	1344	Aggettivo	other, else
tutte	1319	Aggettivo	all
abbiamo	1335	Verbo ausiliare in Tempo composto di un verbo	we have
meno	1311	Avverbio	less
sembra	1312	Verbo	it / he / she seems
avrebbe	1395	Verbo ausiliare in Tempo composto di un verbo	it / he / she would have
subito	1304	Avverbio	immediately, at once
quindi	1331	Congiunzione	so, therefore
quattro	1291	Numerale	four
nessuno	1293	Pronome	nobody, anyone
ti	1563	Pronome	you, to you
agli	1250	Preposizione	of the (m.p)
caso	1254	Sostantivo	case, chance
troppo	1240	Avverbio	too much
li	1254	Pronome	them
cose	1250	Sostantivo	things
persone	1276	Sostantivo	persons
uomini	1269	Sostantivo	men
mesi	1289	Sostantivo	months
ormai	1200	Avverbio	now, by this time, by now
vero	1209	Aggettivo	true
no	1327	Avverbio	no
pò	1210	Sostantivo in Avverbio	few, little, not much
donna	1285	Sostantivo	woman
ben	1190	Avverbio	well
un pò	1198	Avverbio	a little
anche se	1183	Congiunzione	also / even /  if, although
adesso	1256	Avverbio	now
sull'	1173	Preposizione	on the
ore	1177	Sostantivo	hours
almeno	1144	Avverbio	at least
è stato	1176	Verbo	it / he has been
cento	1241	Numerale	one hundred
nuova	1159	Aggettivo	new, news
avuto	1150	Verbo in Tempo composto di un verbo	had
paese	1196	Sostantivo	country
cosa	1163	Sostantivo	thing
sia	1128	Verbo	might be, both
altra	1120	Aggettivo	other
grandi	1131	Aggettivo	large
padre	1254	Sostantivo	father
ex	1295	Aggettivo	former
avere	1100	Verbo	to have
ciò	1153	Pronome	that, this (demonstrative pronoun)
nostro	1110	Aggettivo	our
altre	1099	Aggettivo	others
queste	1108	Aggettivo	this (f.p)
meglio	1085	Avverbio	best, better
famiglia	1130	Sostantivo	family
erano	1143	Verbo	they were
sera	1160	Sostantivo	evening
né	1129	Congiunzione	neither
spesso	1097	Avverbio	often, frequently
tutta	1052	Aggettivo	all
poco	1059	Avverbio	a little, a few
governo	1492	Sostantivo	government
alcuni	1050	Aggettivo	some, any
milioni	1131	Numerale	million
gente	1041	Sostantivo	people
stessa	1024	Aggettivo	same
qualcosa	1059	Pronome	something
possono	1082	Verbo	they can
col	1025	Preposizione	with the (m.p)
allora	1057	Congiunzione	so
possibile	1002	Aggettivo	possible
sì	1105	Avverbio	yes
ci sono	997	Verbo	ther are
notte	1039	Sostantivo	night
va	995	Verbo	it / he / she goes
società	1078	Sostantivo	society
sarebbe	1065	Verbo ausiliare in Tempo composto di un verbo	it / he / she would be
viene	1042	Verbo ausiliare in Tempo composto di un verbo	it / he / she comes
posto	990	Sostantivo	place, room, space
quanto	965	Pronome	how much
problema	989	Sostantivo	problem
tanto	988	Avverbio	a lot
amore	1097	Sostantivo	to love
donne	1020	Sostantivo	women
certo	961	Avverbio	certain
potrebbe	969	Verbo	it / he / she could
fine	953	Sostantivo	end, conclusion
mano	982	Sostantivo	hand
vedere	944	Verbo	to see
durante	953	Preposizione	for, during
cinque	924	Numerale	five
gruppo	971	Sostantivo	group
esempio	959	Sostantivo in Avverbio	example
dunque	947	Congiunzione	therefore
problemi	938	Sostantivo	problems
strada	932	Sostantivo	street
legge	1021	Sostantivo	law
nostra	916	Aggettivo	our
numero	926	Sostantivo	number
siamo	925	Verbo	we are
madre	1018	Sostantivo	mother
lire	1053	Sostantivo	lire
davanti	921	Avverbio in Preposizione	in front, ahead, opposite
nulla	910	Pronome	nothing
molti	891	Aggettivo	many
volte	888	Sostantivo	times
film	1215	Sostantivo	film
